NN,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,class2
2895[5],-1.126,1.149,-2.409,2.376,8.79E-08,-1.63E-07,1.05E-07,3.00E-06,2.94E-06,2.91E-06,2.55E-06,2.40E-06,2.55E-06,2.74E-06,3.30E-06,3.75E-06,2.51E-06,805600,12.42,-11.61,142.2,100.7,109,-4.87E-07,-0.002,0,-0.026,0.007,-3.31E-08,-4.40E-09,2.19E-08,-1.68E-05,-1.72E-05,-1.76E-05,-1.79E-05,-1.87E-05,-1.90E-05,-1.94E-05,-1.87E-05,-1.78E-05,-1.94E-05,-18700,0,0.01,1.8,-0.2,a
2895[6],-1.131,1.155,-2.403,2.37,1.07E-07,-1.32E-07,5.00E-08,-2.50E-06,-3.94E-06,-4.68E-06,-6.95E-06,-6.70E-06,-7.65E-06,-8.66E-06,-7.26E-06,-7.15E-06,-9.14E-06,936800,12.42,-11.62,121.6,102,110.8,-6.64E-06,-0.001,0,-0.019,0.003,-2.44E-08,1.44E-08,7.42E-09,-2.85E-06,-5.00E-06,-4.80E-06,-6.83E-06,-5.84E-06,-6.19E-06,-6.36E-06,-4.63E-06,-6.20E-06,-9.46E-06,98100,-0.01,0,-0.9,-0.5,a
2895[7],-1.145,1.17,-2.408,2.383,1.11E-07,-1.64E-07,7.41E-08,-1.41E-05,-1.80E-05,-2.09E-05,-2.29E-05,-2.54E-05,-2.66E-05,-2.74E-05,-2.79E-05,-2.88E-05,-2.90E-05,924700,12.43,-11.62,124.1,103.4,110.5,-1.49E-05,0.002,-0.002,-0.008,0.001,-2.21E-08,-1.54E-08,2.22E-08,-2.11E-05,-2.13E-05,-2.29E-05,-2.26E-05,-2.45E-05,-2.42E-05,-2.49E-05,-2.48E-05,-2.56E-05,-2.39E-05,-95300,0,0,0.2,-0.2,a
2895[8],-1.074,1.097,-2.327,2.302,8.42E-08,-9.74E-08,4.03E-08,1.57E-05,1.74E-05,1.84E-05,1.97E-05,2.06E-05,2.11E-05,2.21E-05,2.31E-05,2.32E-05,2.39E-05,1073000,12.43,-11.62,127.9,105.3,114.4,8.16E-06,0.005,-0.005,-0.022,0.018,-1.15E-08,-1.38E-08,1.28E-08,-1.98E-05,-1.79E-05,-1.74E-05,-1.53E-05,-1.42E-05,-1.40E-05,-1.42E-05,-1.34E-05,-1.41E-05,-1.34E-05,-96000,0,0.01,-0.3,-0.3,a
2895[9],-1.144,1.169,-2.409,2.382,1.89E-08,-6.29E-08,6.28E-08,-3.43E-06,-4.74E-06,-6.45E-06,-6.53E-06,-7.96E-06,-8.56E-06,-1.03E-05,-1.01E-05,-1.05E-05,-1.08E-05,1074000,12.44,-11.63,130.3,105.2,113.7,-7.33E-06,0.002,-0.001,-0.009,0.003,-5.16E-09,-5.74E-09,5.80E-09,-1.39E-05,-1.36E-05,-1.43E-05,-1.42E-05,-1.49E-05,-1.50E-05,-1.59E-05,-1.60E-05,-1.58E-05,-1.66E-05,-31000,-0.01,0,-1.7,1.4,a
2895[10],-1.126,1.15,-2.397,2.369,8.93E-08,-1.23E-07,6.56E-08,5.71E-06,2.44E-06,-9.13E-07,-3.20E-06,-5.21E-06,-7.05E-06,-9.06E-06,-9.70E-06,-1.05E-05,-1.14E-05,885800,12.42,-11.62,130.9,102.6,111.9,-1.71E-05,0.002,-0.003,-0.008,0.002,9.15E-09,-6.00E-09,-2.04E-09,-1.58E-06,-3.46E-06,-4.85E-06,-5.70E-06,-4.36E-06,-5.64E-06,-6.49E-06,-6.70E-06,-6.71E-06,-7.24E-06,-38000,0,-0.01,0,0.3,a
2895[11],-1.136,1.16,-2.414,2.386,6.45E-08,-7.98E-08,4.62E-08,2.28E-05,1.80E-05,1.47E-05,1.11E-05,8.90E-06,6.66E-06,4.98E-06,3.18E-06,2.18E-06,7.38E-07,1006000,12.42,-11.62,124.1,104.2,111.3,-2.20E-05,0.002,-0.003,-0.016,0.011,-4.09E-09,-7.93E-09,5.37E-09,-1.48E-05,-1.84E-05,-2.00E-05,-2.31E-05,-2.39E-05,-2.49E-05,-2.60E-05,-2.74E-05,-2.83E-05,-2.87E-05,-66000,-0.01,-0.01,0,0.4,a
2895[12],-1.147,1.172,-2.416,2.387,1.31E-07,-1.14E-07,2.52E-08,3.84E-05,3.69E-05,3.55E-05,3.43E-05,3.30E-05,3.22E-05,3.18E-05,3.13E-05,3.05E-05,2.99E-05,1012000,12.43,-11.62,127.7,104.3,113.2,-8.47E-06,0.001,-0.001,-0.01,0.005,2.01E-08,7.90E-09,-1.77E-08,2.26E-05,2.12E-05,2.10E-05,1.98E-05,2.01E-05,1.98E-05,1.80E-05,1.75E-05,1.74E-05,1.59E-05,35900,-0.01,-0.01,-2,-0.7,a
2895[13],-1.142,1.167,-2.404,2.375,5.21E-08,-7.52E-08,5.19E-08,2.92E-05,2.77E-05,2.66E-05,2.57E-05,2.49E-05,2.47E-05,2.36E-05,2.36E-05,2.28E-05,2.18E-05,1080000,12.44,-11.63,128.5,105,116.8,-7.38E-06,0,0,-0.01,0.005,-1.15E-08,-9.76E-09,1.09E-08,-7.08E-06,-7.97E-06,-9.32E-06,-1.05E-05,-9.35E-06,-9.46E-06,-9.71E-06,-9.92E-06,-1.22E-05,-1.28E-05,46000,-0.01,-0.01,-0.4,0.4,a
2895[14],-1.147,1.173,-2.41,2.381,4.54E-08,-1.01E-07,7.67E-08,-9.25E-07,-7.50E-07,-1.44E-06,-2.60E-06,-2.93E-06,-2.24E-06,-3.43E-06,-2.85E-06,-2.45E-06,-3.25E-06,1014000,12.42,-11.62,126.8,103.7,113.2,-2.33E-06,0,0.001,-0.002,-0.002,-2.60E-10,5.90E-09,-3.47E-09,-5.03E-06,-5.66E-06,-6.19E-06,-8.26E-06,-7.13E-06,-7.28E-06,-8.63E-06,-9.43E-06,-8.58E-06,-8.69E-06,-64000,-0.01,-0.01,0.4,-0.9,a
2895[15],-1.115,1.137,-2.386,2.355,3.68E-08,-8.91E-08,7.29E-08,2.38E-07,-5.00E-07,-1.51E-06,-1.80E-06,-2.65E-06,-2.85E-06,-2.99E-06,-3.18E-06,-3.36E-06,-3.68E-06,1063000,12.44,-11.63,138.1,105.8,117.2,-3.91E-06,-0.002,0.001,-0.012,0.001,-9.74E-09,-4.77E-09,9.88E-09,-1.31E-05,-1.29E-05,-1.32E-05,-1.29E-05,-1.34E-05,-1.29E-05,-1.38E-05,-1.39E-05,-1.45E-05,-1.47E-05,55000,-0.01,0,-0.2,0.1,a
2895[16],-1.137,1.162,-2.429,2.399,8.84E-08,-1.38E-07,8.36E-08,1.52E-05,1.60E-05,1.58E-05,1.64E-05,1.61E-05,1.76E-05,1.81E-05,1.68E-05,1.78E-05,1.83E-05,939500,12.41,-11.62,128.2,101.8,109.2,3.13E-06,-0.003,0.003,-0.013,0.005,-1.46E-08,-6.50E-09,1.64E-08,-1.18E-05,-1.14E-05,-1.21E-05,-1.20E-05,-1.33E-05,-1.22E-05,-1.34E-05,-1.41E-05,-1.25E-05,-1.21E-05,-48900,-0.02,0,0,-0.5,a
2895[17],-1.133,1.158,-2.409,2.379,6.50E-08,-1.40E-07,9.71E-08,-1.50E-05,-1.54E-05,-1.53E-05,-1.53E-05,-1.55E-05,-1.50E-05,-1.47E-05,-1.46E-05,-1.48E-05,-1.50E-05,942100,12.43,-11.62,131.1,103.1,111.9,1.00E-08,0.003,-0.001,-0.021,0.015,-2.34E-08,-1.77E-08,2.45E-08,-3.76E-05,-3.69E-05,-3.62E-05,-3.57E-05,-3.53E-05,-3.55E-05,-3.47E-05,-3.45E-05,-3.43E-05,-3.44E-05,-50100,0,0.01,-0.1,-0.2,a
2895[18],-1.116,1.139,-2.417,2.387,6.83E-08,-7.78E-08,4.08E-08,2.23E-05,2.03E-05,1.87E-05,1.70E-05,1.57E-05,1.43E-05,1.38E-05,1.29E-05,1.21E-05,1.14E-05,1050000,12.43,-11.62,131.5,104.6,112.3,-1.10E-05,0.001,0,-0.015,0.009,-1.68E-09,-2.23E-09,3.88E-09,2.40E-06,2.73E-06,3.10E-06,3.04E-06,2.87E-06,2.26E-06,2.65E-06,1.76E-06,1.59E-06,1.13E-06,5000,-0.01,0.01,0.1,0.9,a
2895[19],-1.131,1.154,-2.419,2.388,9.83E-08,-1.29E-07,7.41E-08,2.50E-05,2.78E-05,2.93E-05,3.05E-05,3.24E-05,3.22E-05,3.33E-05,3.40E-05,3.51E-05,3.42E-05,959700,12.41,-11.63,124.3,102,108,9.25E-06,-0.002,0.001,-0.008,0.002,-7.52E-09,-1.50E-09,1.33E-08,-2.62E-06,-2.31E-06,-1.93E-06,-1.69E-06,-2.15E-06,-3.41E-06,-2.95E-06,-2.72E-06,-2.26E-06,-3.56E-06,24200,0,0,-0.7,-0.3,a
2895[20],-1.13,1.154,-2.404,2.373,4.11E-08,-9.30E-08,7.80E-08,1.61E-05,1.40E-05,1.20E-05,1.06E-05,9.04E-06,8.06E-06,6.66E-06,6.61E-06,5.39E-06,4.88E-06,995300,12.42,-11.62,124.7,104.2,112.2,-1.12E-05,0.001,0,-0.008,0.003,-1.32E-08,-4.60E-10,9.36E-09,8.35E-06,7.64E-06,6.64E-06,5.70E-06,4.48E-06,4.54E-06,3.75E-06,3.98E-06,3.91E-06,3.49E-06,-45700,-0.01,0,-0.6,0.2,a
2895[21],-1.131,1.155,-2.395,2.364,2.30E-08,-8.26E-08,7.00E-08,-3.41E-06,-9.63E-07,1.41E-06,3.35E-06,5.10E-06,6.63E-06,6.56E-06,8.03E-06,8.25E-06,8.51E-06,1065000,12.44,-11.63,136,104.8,115.3,1.19E-05,-0.002,0.001,-0.011,0.008,-1.65E-08,-1.41E-08,2.06E-08,-2.53E-06,-2.93E-06,-1.88E-06,-8.75E-07,6.62E-07,-3.38E-07,-1.84E-06,-8.63E-07,-1.71E-06,-2.38E-06,7000,-0.01,0,1.2,-0.4,a
2895[22],-1.144,1.168,-2.433,2.401,5.78E-08,-8.34E-08,5.33E-08,3.40E-06,1.35E-06,-7.38E-07,-2.66E-06,-3.80E-06,-4.63E-06,-5.96E-06,-6.73E-06,-7.25E-06,-7.68E-06,991800,12.44,-11.63,131.6,105.1,118.1,-1.11E-05,0.002,-0.001,-0.002,-0.001,-3.30E-10,1.23E-08,-3.99E-09,-5.50E-07,-6.50E-07,-9.75E-07,-2.05E-06,-1.74E-06,-1.26E-06,-1.53E-06,-1.96E-06,-1.79E-06,-1.35E-06,15600,-0.01,0,0.8,-0.3,a
2895[23],-1.141,1.165,-2.426,2.394,3.11E-08,-8.10E-08,7.02E-08,-3.98E-06,-4.41E-06,-4.74E-06,-5.29E-06,-5.76E-06,-6.00E-06,-5.95E-06,-6.40E-06,-6.40E-06,-6.89E-06,869200,12.42,-11.62,128.6,103.8,112.9,-2.91E-06,0.001,-0.001,-0.006,0.003,9.80E-10,-1.27E-09,3.19E-09,-5.79E-06,-6.13E-06,-6.15E-06,-5.76E-06,-6.55E-06,-6.56E-06,-5.94E-06,-6.55E-06,-6.84E-06,-6.56E-06,-18500,-0.01,0,-0.6,0.5,a
