name,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,class
2942[5],-3.023,3.059,-3.458,3.462,-5.57E-06,5.69E-06,4.26E-08,1.13E-07,-4.39E-06,-7.75E-06,-1.01E-05,-1.18E-05,-1.38E-05,-1.55E-05,-1.65E-05,-1.72E-05,-1.70E-05,3496000,13.9,-13.88,125,-1.72E-05,-0.006,0.006,-0.006,0.018,-1.25E-07,4.23E-07,-2.47E-07,3.50E-07,8.37E-07,6.38E-07,8.60E-07,1.00E-06,9.00E-07,1.30E-07,-3.80E-07,-4.30E-07,1.30E-07,411000,0,0.01,a
2942[6],-2.956,2.997,-3.492,3.495,7.51E-06,-5.36E-06,2.35E-06,3.87E-05,4.45E-05,4.98E-05,5.35E-05,5.61E-05,5.93E-05,6.14E-05,6.34E-05,6.60E-05,6.76E-05,2918000,13.89,-13.88,124.5,2.89E-05,-0.011,0.011,-0.065,-0.033,-6.50E-08,-4.40E-08,2.50E-08,1.69E-06,3.99E-06,6.77E-06,8.05E-06,8.70E-06,1.03E-05,1.02E-05,1.13E-05,1.31E-05,1.30E-05,125000,0,0,a
2942[7],-2.968,3.007,-3.481,3.414,-1.01E-05,1.00E-05,1.83E-07,-9.10E-06,-1.05E-05,-1.15E-05,-1.21E-05,-1.23E-05,-1.30E-05,-1.33E-05,-1.31E-05,-1.31E-05,-1.39E-05,3146000,13.89,-13.88,139.1,-4.84E-06,-0.015,0.014,0.003,0.069,5.80E-07,0,-2.45E-07,1.38E-06,5.40E-07,-1.80E-07,-6.90E-07,-6.10E-07,-9.40E-07,-9.40E-07,-6.20E-07,-6.90E-07,-1.69E-06,137000,0,0,a
2942[8],-3.044,3.079,-3.466,3.463,-2.45E-05,1.94E-05,5.27E-06,-1.38E-05,-1.55E-05,-1.50E-05,-1.49E-05,-1.60E-05,-1.58E-05,-1.73E-05,-1.67E-05,-1.64E-05,-1.34E-05,3387000,13.9,-13.89,129.2,4.40E-07,-0.008,0.007,-0.016,0.022,-3.50E-07,8.70E-07,-5.71E-07,1.85E-06,3.28E-06,6.34E-06,8.06E-06,7.82E-06,9.15E-06,8.08E-06,1.01E-05,1.10E-05,1.48E-05,11000,0,0,a
2942[9],-2.96,2.993,-3.371,3.369,-2.18E-05,2.49E-05,3.01E-06,2.12E-05,1.96E-05,1.81E-05,1.71E-05,1.66E-05,1.64E-05,1.69E-05,1.69E-05,1.68E-05,1.71E-05,3784000,13.9,-13.89,135.3,-4.19E-06,-0.011,0.009,-0.016,0.018,8.00E-08,1.17E-06,7.38E-07,4.68E-06,5.07E-06,4.51E-06,4.40E-06,5.06E-06,5.92E-06,7.25E-06,7.71E-06,8.93E-06,9.63E-06,124000,0,0,a
2942[10],-2.981,3.021,-3.526,3.584,-1.04E-05,1.67E-05,6.41E-06,-1.50E-06,-1.35E-05,-2.33E-05,-3.06E-05,-3.65E-05,-4.13E-05,-4.56E-05,-4.80E-05,-5.04E-05,-5.26E-05,2308000,13.89,-13.87,136.9,-5.11E-05,-0.014,0.012,-0.019,0.021,3.90E-07,-3.30E-07,9.00E-08,1.06E-05,8.83E-06,8.34E-06,7.44E-06,8.16E-06,8.89E-06,8.87E-06,9.37E-06,9.83E-06,1.06E-05,173000,0,0.01,a
2942[11],-3.218,3.262,-3.763,3.8,1.93E-05,-1.59E-05,3.41E-06,-4.25E-07,-2.70E-06,-4.94E-06,-5.95E-06,-6.48E-06,-6.64E-06,-7.14E-06,-8.14E-06,-7.73E-06,-7.01E-06,2733000,13.89,-13.89,114.6,-6.59E-06,-0.036,0.034,-0.051,0.048,-3.70E-07,3.00E-07,2.84E-07,-1.38E-07,7.25E-07,1.06E-06,2.20E-06,2.91E-06,4.17E-06,4.40E-06,4.21E-06,5.52E-06,6.54E-06,-38000,0,0,a
2942[12],-3.084,3.127,-3.741,3.774,1.68E-06,-1.13E-06,4.91E-07,1.58E-05,1.63E-05,1.60E-05,1.58E-05,1.58E-05,1.60E-05,1.66E-05,1.67E-05,1.68E-05,1.68E-05,2137000,13.9,-13.88,123.1,1.05E-06,-0.025,0.023,-0.039,0.035,3.63E-07,4.20E-08,2.40E-07,4.48E-06,6.24E-06,7.10E-06,8.03E-06,8.28E-06,8.21E-06,8.93E-06,8.83E-06,9.23E-06,9.47E-06,49000,0,0,a
2942[13],-2.864,2.902,-3.343,3.325,-7.97E-06,8.62E-06,7.27E-07,2.05E-06,-5.00E-08,-2.24E-06,-3.65E-06,-4.75E-06,-6.14E-06,-6.88E-06,-7.31E-06,-7.50E-06,-7.93E-06,2781000,13.88,-13.88,157.7,-9.98E-06,-0.023,0.02,-0.026,0.052,4.15E-07,7.00E-08,6.84E-07,5.85E-06,5.53E-06,4.75E-06,4.43E-06,4.21E-06,3.76E-06,3.78E-06,3.72E-06,3.48E-06,3.09E-06,168000,0,0,a
2942[14],-3.2,3.236,-3.649,3.634,1.41E-05,-1.38E-05,1.82E-07,2.34E-05,2.18E-05,2.04E-05,1.93E-05,1.80E-05,1.76E-05,1.69E-05,1.69E-05,1.64E-05,1.60E-05,4082000,13.9,-13.89,132.2,-7.47E-06,-0.023,0.02,-0.028,0.042,-6.50E-07,1.01E-06,1.11E-07,1.09E-05,1.18E-05,1.30E-05,1.32E-05,1.36E-05,1.44E-05,1.52E-05,1.58E-05,1.60E-05,1.59E-05,160000,0,0,a
2942[15],-2.999,3.037,-3.483,3.546,-1.18E-05,2.03E-05,8.32E-06,9.86E-06,6.63E-06,4.13E-06,2.16E-06,6.25E-07,-1.50E-07,-1.24E-06,-2.06E-06,-2.33E-06,-2.93E-06,2828000,13.9,-13.89,128.4,-1.28E-05,-0.028,0.025,-0.036,0.039,2.20E-07,-4.50E-07,-1.01E-07,7.91E-06,7.74E-06,8.21E-06,8.65E-06,9.14E-06,1.01E-05,1.04E-05,1.05E-05,1.09E-05,1.10E-05,162000,0,0,a
2942[16],-2.939,2.977,-3.415,3.398,-3.73E-06,4.18E-06,3.40E-07,-9.63E-06,-1.02E-05,-1.05E-05,-1.10E-05,-1.12E-05,-1.14E-05,-1.13E-05,-1.12E-05,-1.14E-05,-1.15E-05,3037000,13.88,-13.87,139,-1.88E-06,-0.033,0.03,-0.041,0.059,-3.00E-09,-1.27E-07,-2.92E-07,6.24E-06,5.61E-06,5.20E-06,4.92E-06,4.91E-06,5.07E-06,5.75E-06,6.09E-06,5.79E-06,5.66E-06,128000,0,0.01,a
2942[17],-2.95,2.987,-3.509,3.371,-4.40E-06,4.80E-06,3.92E-07,-1.86E-05,-3.35E-05,-4.41E-05,-5.28E-05,-5.98E-05,-6.61E-05,-6.99E-05,-7.30E-05,-7.61E-05,-7.83E-05,2410000,13.89,-13.88,149.5,-5.96E-05,-0.038,0.036,-0.069,0.04,3.74E-07,-6.33E-07,-5.37E-07,2.29E-06,4.09E-06,6.74E-06,9.09E-06,1.05E-05,1.12E-05,1.34E-05,1.56E-05,1.61E-05,1.74E-05,9000,0,0,a
2942[18],-3.081,3.12,-3.581,3.621,-4.14E-06,2.94E-06,1.18E-06,1.98E-05,1.96E-05,1.88E-05,1.87E-05,1.84E-05,1.79E-05,1.80E-05,1.76E-05,1.78E-05,1.79E-05,2810000,13.9,-13.89,126.9,-1.93E-06,-0.039,0.036,-0.051,0.052,9.20E-08,8.20E-08,-3.38E-07,1.16E-05,1.21E-05,1.18E-05,1.29E-05,1.33E-05,1.36E-05,1.41E-05,1.37E-05,1.42E-05,1.43E-05,144000,0,0,a
2942[19],-3.021,3.052,-3.442,3.436,-1.70E-05,1.48E-05,1.85E-06,1.21E-05,1.33E-05,1.36E-05,1.37E-05,1.40E-05,1.44E-05,1.47E-05,1.51E-05,1.55E-05,1.62E-05,4357000,13.9,-13.89,125.5,4.11E-06,-0.05,0.047,-0.06,0.059,9.20E-07,-9.60E-07,-4.43E-07,1.09E-05,1.01E-05,8.73E-06,8.03E-06,7.51E-06,7.51E-06,7.38E-06,7.39E-06,7.03E-06,7.63E-06,429000,0,0,a
2942[20],-3.092,3.126,-3.534,3.524,-2.19E-05,2.46E-05,2.81E-06,7.58E-06,5.81E-06,3.68E-06,1.39E-06,2.88E-07,-6.63E-07,-1.40E-06,-2.26E-06,-2.69E-06,-2.98E-06,3278000,13.9,-13.89,128.9,-1.06E-05,-0.023,0.02,-0.03,0.032,-1.01E-06,1.40E-07,-5.78E-07,7.86E-06,8.75E-06,9.15E-06,9.00E-06,9.50E-06,9.75E-06,1.02E-05,1.02E-05,1.03E-05,1.00E-05,9000,0,0,a
2942[21],-3.142,3.184,-3.739,3.782,7.55E-06,-9.66E-06,2.04E-06,-4.54E-05,-6.01E-05,-7.18E-05,-8.12E-05,-8.89E-05,-9.51E-05,-0.0001005,-0.0001043,-0.0001082,-0.0001108,2429000,13.89,-13.88,121.7,-6.55E-05,0.024,-0.023,0.025,-0.029,5.58E-07,-6.12E-07,1.41E-07,3.49E-05,2.89E-05,2.35E-05,1.90E-05,1.52E-05,1.25E-05,1.05E-05,8.40E-06,5.30E-06,3.80E-06,389000,0,-0.01,a
2942[22],-3.202,3.244,-3.752,3.787,-5.00E-06,4.58E-06,4.81E-07,-1.53E-05,-2.14E-05,-2.65E-05,-3.06E-05,-3.34E-05,-3.57E-05,-3.73E-05,-3.83E-05,-3.94E-05,-4.09E-05,2510000,13.9,-13.88,141.4,-2.57E-05,-0.018,0.016,-0.03,0.028,1.62E-07,-2.43E-07,2.59E-07,7.80E-06,6.93E-06,6.09E-06,6.04E-06,7.01E-06,8.26E-06,9.33E-06,1.07E-05,1.06E-05,9.83E-06,-38000,0,0,a
2942[23],-2.978,3.015,-3.545,3.431,-6.84E-06,6.85E-06,2.12E-07,1.59E-05,8.39E-06,2.01E-06,-3.04E-06,-7.65E-06,-9.95E-06,-1.19E-05,-1.32E-05,-1.44E-05,-1.54E-05,2800000,13.9,-13.88,138.2,-3.13E-05,-0.015,0.012,-0.048,0.012,-8.28E-07,-1.55E-07,-6.44E-07,1.37E-05,1.17E-05,1.05E-05,9.60E-06,8.75E-06,9.40E-06,9.54E-06,1.08E-05,1.12E-05,1.20E-05,241000,0,0,a
2942[24],-3.023,3.055,-3.467,3.457,-1.62E-05,2.12E-05,4.68E-06,1.63E-05,1.40E-05,1.23E-05,1.12E-05,1.03E-05,9.80E-06,9.26E-06,8.83E-06,8.76E-06,8.16E-06,3334000,13.91,-13.89,131.1,-8.13E-06,-0.022,0.019,-0.032,0.031,3.90E-07,-3.00E-07,-4.21E-07,1.01E-05,1.00E-05,1.01E-05,1.01E-05,9.89E-06,1.05E-05,1.16E-05,1.16E-05,1.19E-05,1.14E-05,302000,0,0,a
2942[25],-3.053,3.086,-3.507,3.493,-1.22E-05,1.05E-05,1.49E-06,-6.88E-06,-8.36E-06,-1.04E-05,-1.18E-05,-1.29E-05,-1.37E-05,-1.45E-05,-1.49E-05,-1.54E-05,-1.59E-05,3443000,13.91,-13.89,124.1,-9.07E-06,-0.016,0.012,-0.023,0.026,4.00E-08,5.64E-07,-6.54E-07,7.57E-06,6.77E-06,5.83E-06,5.33E-06,4.92E-06,4.86E-06,4.46E-06,4.80E-06,3.95E-06,3.61E-06,130000,0,0,a
2942[26],-2.982,3.02,-3.554,3.434,-2.71E-06,3.23E-06,5.07E-07,-2.49E-05,-3.38E-05,-4.09E-05,-4.66E-05,-5.13E-05,-5.53E-05,-5.85E-05,-6.05E-05,-6.37E-05,-6.46E-05,2559000,13.89,-13.88,132.6,-3.96E-05,-0.017,0.014,-0.063,-0.003,-1.35E-07,3.22E-07,2.14E-07,1.78E-06,1.32E-06,1.18E-06,8.80E-07,1.29E-06,1.60E-07,-1.80E-07,-4.00E-08,-1.19E-06,-4.40E-07,116000,0,0,a
2942[27],-2.927,2.962,-3.42,3.367,-5.77E-06,5.97E-06,1.78E-07,1.11E-05,4.21E-06,-1.69E-06,-6.58E-06,-1.04E-05,-1.33E-05,-1.53E-05,-1.78E-05,-1.90E-05,-2.08E-05,2610000,13.89,-13.87,116.8,-3.19E-05,-0.016,0.013,0.01,0.086,-1.62E-07,2.90E-08,-1.46E-07,9.51E-06,9.50E-06,9.55E-06,9.39E-06,1.00E-05,1.06E-05,1.12E-05,1.04E-05,1.18E-05,1.13E-05,81000,0,0.01,a
2942[28],-3.049,3.082,-3.539,3.523,-1.93E-05,1.94E-05,3.38E-07,2.56E-06,-3.75E-07,-3.35E-06,-5.89E-06,-7.61E-06,-9.19E-06,-1.02E-05,-1.07E-05,-1.11E-05,-1.17E-05,3148000,13.91,-13.88,126.5,-1.42E-05,-0.01,0.007,-0.02,0.021,-1.13E-06,8.00E-08,-1.14E-06,8.11E-06,8.51E-06,8.58E-06,8.21E-06,8.03E-06,7.79E-06,7.49E-06,7.53E-06,7.71E-06,7.60E-06,285000,0,0,a
2942[29],-3.028,3.059,-3.461,3.449,-2.00E-05,1.85E-05,1.39E-06,2.22E-05,2.09E-05,1.99E-05,1.83E-05,1.72E-05,1.71E-05,1.73E-05,1.68E-05,1.68E-05,1.69E-05,3883000,13.9,-13.89,126.2,-5.31E-06,-0.022,0.02,-0.037,0.035,7.30E-07,-7.10E-07,4.18E-07,1.11E-05,1.14E-05,1.18E-05,1.13E-05,1.11E-05,1.23E-05,1.35E-05,1.37E-05,1.39E-05,1.44E-05,73000,0,0,a
2942[30],-2.877,2.912,-3.351,3.336,-4.12E-06,4.03E-06,2.36E-08,9.56E-06,-1.21E-06,-1.02E-05,-1.68E-05,-2.29E-05,-2.67E-05,-3.06E-05,-3.37E-05,-3.74E-05,-3.94E-05,2542000,13.88,-13.88,134.9,-4.90E-05,-0.016,0.013,-0.03,0.037,-3.87E-07,1.50E-08,-1.12E-07,8.04E-06,7.88E-06,8.45E-06,9.69E-06,9.92E-06,1.09E-05,1.08E-05,1.10E-05,1.06E-05,1.10E-05,213000,0,0,a
2942[31],-3.021,3.058,-3.491,3.559,-1.76E-05,1.33E-05,4.40E-06,2.71E-05,3.21E-05,3.59E-05,3.89E-05,4.11E-05,4.27E-05,4.43E-05,4.52E-05,4.61E-05,4.67E-05,3274000,13.9,-13.89,117.6,1.96E-05,-0.024,0.021,-0.027,0.043,-3.00E-08,-8.40E-07,7.70E-07,-8.20E-07,1.06E-06,2.39E-06,3.34E-06,4.03E-06,4.08E-06,4.63E-06,4.10E-06,3.92E-06,3.96E-06,-71000,0,0,a
2942[32],-3.029,3.071,-3.565,3.654,-3.39E-06,3.06E-06,2.77E-07,-6.37E-05,-7.38E-05,-8.25E-05,-8.92E-05,-9.54E-05,-0.0001004,-0.0001045,-0.0001078,-0.0001103,-0.0001123,2076000,13.88,-13.87,116.3,-4.86E-05,0.019,-0.017,0.067,0.048,-3.13E-07,2.36E-07,8.50E-09,2.08E-06,2.50E-07,-1.17E-06,-2.12E-06,-2.37E-06,-3.94E-06,-5.50E-06,-6.20E-06,-7.40E-06,-8.10E-06,-52000,-0.01,0,a
2942[33],-3.255,3.296,-3.817,3.84,-1.09E-05,1.20E-05,1.02E-06,-2.37E-05,-3.31E-05,-4.15E-05,-4.90E-05,-5.45E-05,-5.81E-05,-6.09E-05,-6.22E-05,-6.37E-05,-6.64E-05,2310000,13.9,-13.88,125.5,-4.26E-05,-0.021,0.017,-0.036,0.03,-9.00E-08,3.00E-07,-1.10E-08,1.21E-05,1.26E-05,1.21E-05,1.14E-05,1.15E-05,1.25E-05,1.35E-05,1.45E-05,1.56E-05,1.56E-05,34000,0,0.01,a
2942[34],-3.065,3.102,-3.551,3.604,-1.02E-05,1.02E-05,5.46E-08,1.41E-05,1.14E-05,8.49E-06,5.80E-06,3.99E-06,2.69E-06,9.63E-07,2.63E-07,-3.13E-07,-5.00E-07,3012000,13.9,-13.89,141.8,-1.46E-05,-0.029,0.025,-0.036,0.045,5.10E-07,-6.60E-07,2.70E-08,2.73E-06,2.63E-06,1.91E-06,1.33E-06,4.99E-07,3.88E-07,-6.63E-07,-6.63E-07,-5.25E-07,-4.38E-07,243000,0,0,a
2942[305],-2.122,2.161,-2.625,2.619,-5.54E-06,6.75E-06,1.13E-06,1.65E-06,-9.48E-06,-1.90E-05,-2.73E-05,-3.41E-05,-3.89E-05,-4.22E-05,-4.49E-05,-4.77E-05,-4.92E-05,2003000,13.88,-13.83,126.9,-5.08E-05,-0.005,0.005,-0.017,0.012,2.28E-07,-2.58E-07,-6.00E-09,1.47E-05,1.34E-05,1.11E-05,9.25E-06,8.32E-06,7.31E-06,6.58E-06,6.59E-06,6.46E-06,7.05E-06,72000,0,0.01,b
2942[306],-2.197,2.233,-2.722,2.716,-6.96E-06,6.97E-06,1.85E-08,-3.88E-07,-4.53E-06,-7.48E-06,-1.02E-05,-1.20E-05,-1.32E-05,-1.44E-05,-1.54E-05,-1.61E-05,-1.71E-05,2169000,13.88,-13.82,130.4,-1.67E-05,-0.035,0.032,-0.051,0.047,6.61E-07,-5.96E-07,-7.95E-09,3.66E-06,5.86E-06,8.03E-06,9.78E-06,1.17E-05,1.38E-05,1.54E-05,1.62E-05,1.72E-05,1.76E-05,84000,0,0.01,b
2942[307],-2.189,2.225,-2.774,2.767,-5.48E-06,4.53E-06,1.03E-06,2.33E-05,2.34E-05,2.27E-05,2.21E-05,2.22E-05,2.16E-05,2.11E-05,2.13E-05,2.10E-05,2.07E-05,1854000,13.89,-13.84,126.7,-2.66E-06,-0.037,0.034,-0.055,0.05,3.72E-07,-1.86E-07,-8.10E-08,1.03E-05,1.02E-05,9.61E-06,9.04E-06,9.16E-06,9.38E-06,9.67E-06,9.97E-06,9.56E-06,8.94E-06,-6000,0,0,b
