***,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,class
532005,2.13E-001,1.64E-006,3.41E-006,2.77E+000,1.03E-003,3.30E-002,3.60E-002,3.67E-002,6.24E+000,6.91E-001,8.38E-002,4.01E-002,0
532006,2.11E-001,1.37E-006,3.63E-006,2.66E+000,8.82E-004,3.25E-002,3.55E-002,3.63E-002,6.26E+000,6.94E-001,8.37E-002,3.99E-002,0
532007,1.99E-001,2.04E-006,2.57E-006,2.76E+000,1.08E-003,3.37E-002,3.63E-002,3.71E-002,6.21E+000,6.97E-001,8.37E-002,3.99E-002,0
532008,2.06E-001,1.31E-006,3.39E-006,2.76E+000,1.01E-003,3.31E-002,3.58E-002,3.65E-002,6.19E+000,6.94E-001,8.38E-002,4.00E-002,0
532009,2.19E-001,7.25E-007,2.47E-006,2.51E+000,1.30E-003,3.25E-002,3.49E-002,3.55E-002,6.18E+000,6.92E-001,8.40E-002,4.04E-002,0
532011,1.79E-001,1.58E-006,3.72E-006,2.64E+000,9.05E-004,3.31E-002,3.56E-002,3.63E-002,6.24E+000,6.94E-001,8.39E-002,4.01E-002,0
532012,2.05E-001,9.71E-007,2.86E-006,2.64E+000,1.16E-003,3.37E-002,3.62E-002,3.70E-002,6.17E+000,6.95E-001,8.40E-002,4.02E-002,0
532013,2.02E-001,8.33E-007,3.46E-006,2.74E+000,1.21E-003,3.24E-002,3.55E-002,3.62E-002,6.21E+000,6.92E-001,8.34E-002,3.96E-002,0
532016,2.04E-001,1.65E-006,3.36E-006,2.52E+000,9.35E-004,3.37E-002,3.63E-002,3.71E-002,6.19E+000,6.92E-001,8.38E-002,4.01E-002,0
532017,2.06E-001,1.41E-006,3.95E-006,2.70E+000,9.45E-004,3.27E-002,3.58E-002,3.65E-002,6.25E+000,6.92E-001,8.40E-002,4.02E-002,0
