***,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,class
532005,2.13E-01,1.64E-06,3.41E-06,2.77E+00,1.03E-03,3.30E-02,3.60E-02,3.67E-02,6.24E+00,6.91E-01,8.38E-02,4.01E-02,a
532006,2.11E-01,1.37E-06,3.63E-06,2.66E+00,8.82E-04,3.25E-02,3.55E-02,3.63E-02,6.26E+00,6.94E-01,8.37E-02,3.99E-02,a
532007,1.99E-01,2.04E-06,2.57E-06,2.76E+00,1.08E-03,3.37E-02,3.63E-02,3.71E-02,6.21E+00,6.97E-01,8.37E-02,3.99E-02,a
532008,2.06E-01,1.31E-06,3.39E-06,2.76E+00,1.01E-03,3.31E-02,3.58E-02,3.65E-02,6.19E+00,6.94E-01,8.38E-02,4.00E-02,a
532009,2.19E-01,7.25E-07,2.47E-06,2.51E+00,1.30E-03,3.25E-02,3.49E-02,3.55E-02,6.18E+00,6.92E-01,8.40E-02,4.04E-02,a
532011,1.79E-01,1.58E-06,3.72E-06,2.64E+00,9.05E-04,3.31E-02,3.56E-02,3.63E-02,6.24E+00,6.94E-01,8.39E-02,4.01E-02,a
532012,2.05E-01,9.71E-07,2.86E-06,2.64E+00,1.16E-03,3.37E-02,3.62E-02,3.70E-02,6.17E+00,6.95E-01,8.40E-02,4.02E-02,a
532013,2.02E-01,8.33E-07,3.46E-06,2.74E+00,1.21E-03,3.24E-02,3.55E-02,3.62E-02,6.21E+00,6.92E-01,8.34E-02,3.96E-02,a
532016,2.04E-01,1.65E-06,3.36E-06,2.52E+00,9.35E-04,3.37E-02,3.63E-02,3.71E-02,6.19E+00,6.92E-01,8.38E-02,4.01E-02,a
532017,2.06E-01,1.41E-06,3.95E-06,2.70E+00,9.45E-04,3.27E-02,3.58E-02,3.65E-02,6.25E+00,6.92E-01,8.40E-02,4.02E-02,a
532018,2.07E-01,2.04E-06,3.65E-06,2.74E+00,1.17E-03,3.24E-02,3.56E-02,3.64E-02,6.23E+00,6.96E-01,8.36E-02,3.98E-02,a
532019,2.16E-01,5.97E-07,2.10E-06,2.60E+00,1.16E-03,3.33E-02,3.52E-02,3.59E-02,6.24E+00,6.97E-01,8.45E-02,4.06E-02,a
532022,2.09E-01,5.27E-07,2.49E-06,2.69E+00,8.95E-04,3.34E-02,3.59E-02,3.66E-02,6.18E+00,6.93E-01,8.35E-02,3.97E-02,a
532023,2.08E-01,1.35E-06,3.31E-06,2.75E+00,1.07E-03,3.53E-02,3.80E-02,3.91E-02,6.21E+00,6.95E-01,8.30E-02,3.91E-02,a
532025,1.99E-01,9.28E-07,2.74E-06,2.71E+00,9.58E-04,3.28E-02,3.50E-02,3.56E-02,6.23E+00,6.92E-01,8.38E-02,4.01E-02,a
532028,2.09E-01,5.88E-07,2.62E-06,2.77E+00,8.86E-04,3.30E-02,3.52E-02,3.59E-02,6.26E+00,6.96E-01,8.38E-02,4.00E-02,a
532031,2.13E-01,1.83E-06,2.68E-06,2.77E+00,1.13E-03,3.51E-02,3.77E-02,3.86E-02,6.21E+00,6.95E-01,8.38E-02,3.99E-02,a
532010,2.01E-01,1.74E-06,2.49E-06,2.36E+00,8.30E-04,3.42E-02,3.63E-02,3.69E-02,6.13E+00,6.89E-01,8.38E-02,4.03E-02,a
532014,1.82E-01,1.64E-06,2.29E-06,2.49E+00,1.02E-03,3.30E-02,3.55E-02,3.61E-02,6.19E+00,6.90E-01,8.39E-02,4.03E-02,a
532020,1.81E-01,1.18E-06,2.64E-06,2.42E+00,1.19E-03,3.37E-02,3.65E-02,3.71E-02,6.17E+00,6.90E-01,8.39E-02,4.03E-02,a
532021,1.97E-01,1.44E-06,2.66E-06,2.45E+00,1.06E-03,3.39E-02,3.68E-02,3.77E-02,6.20E+00,6.91E-01,8.37E-02,4.00E-02,a
532024,1.89E-01,1.34E-06,2.83E-06,2.25E+00,8.06E-04,3.30E-02,3.57E-02,3.63E-02,6.12E+00,6.88E-01,8.35E-02,3.99E-02,a
532026,1.92E-01,1.25E-06,1.90E-06,2.25E+00,1.13E-03,3.22E-02,3.37E-02,3.43E-02,6.15E+00,6.88E-01,8.39E-02,4.04E-02,a
532027,2.01E-01,1.46E-06,2.59E-06,2.32E+00,9.44E-04,3.43E-02,3.60E-02,3.67E-02,6.17E+00,6.93E-01,8.38E-02,4.01E-02,a
532029,1.88E-01,7.30E-07,1.47E-06,2.40E+00,9.70E-04,3.30E-02,3.57E-02,3.64E-02,6.21E+00,6.92E-01,8.38E-02,4.01E-02,a
532030,2.02E-01,9.60E-07,1.68E-06,2.47E+00,1.12E-03,3.42E-02,3.66E-02,3.73E-02,6.19E+00,6.93E-01,8.35E-02,3.99E-02,a
532032,1.78E-01,1.59E-06,2.93E-06,2.49E+00,9.38E-04,3.43E-02,3.63E-02,3.70E-02,6.19E+00,6.88E-01,8.36E-02,4.00E-02,a
532033,1.70E-01,1.53E-06,1.50E-06,2.65E+00,1.06E-03,3.22E-02,3.51E-02,3.56E-02,6.20E+00,6.90E-01,8.37E-02,4.01E-02,a
532034,1.91E-01,1.88E-06,2.80E-06,2.74E+00,9.19E-04,3.39E-02,3.64E-02,3.70E-02,6.21E+00,6.93E-01,8.34E-02,3.98E-02,a
532035,1.93E-01,3.05E-06,2.45E-06,2.77E+00,1.11E-03,3.34E-02,3.60E-02,3.67E-02,6.22E+00,6.95E-01,8.34E-02,3.96E-02,a
532036,1.90E-01,2.03E-06,2.39E-06,2.56E+00,1.10E-03,3.36E-02,3.61E-02,3.68E-02,6.21E+00,6.93E-01,8.36E-02,3.99E-02,a
532037,1.92E-01,3.15E-06,2.98E-06,2.75E+00,1.11E-03,3.60E-02,3.83E-02,3.93E-02,6.22E+00,6.90E-01,8.30E-02,3.92E-02,a
532038,1.76E-01,1.56E-06,2.68E-06,2.98E+00,1.19E-03,3.39E-02,3.58E-02,3.65E-02,6.21E+00,6.90E-01,8.35E-02,3.99E-02,a
532039,1.99E-01,5.52E-07,2.87E-06,2.51E+00,9.82E-04,3.42E-02,3.66E-02,3.72E-02,6.19E+00,6.92E-01,8.41E-02,4.03E-02,a
532040,1.87E-01,6.36E-07,2.53E-06,2.71E+00,9.33E-04,3.30E-02,3.52E-02,3.58E-02,6.20E+00,6.92E-01,8.38E-02,4.00E-02,a
532041,1.79E-01,6.84E-07,2.05E-06,2.76E+00,9.68E-04,3.37E-02,3.62E-02,3.69E-02,6.21E+00,6.92E-01,8.37E-02,4.00E-02,a
532043,1.76E-01,2.10E-06,3.66E-06,3.03E+00,8.20E-04,3.37E-02,3.60E-02,3.67E-02,6.20E+00,6.89E-01,8.37E-02,4.00E-02,a
532044,2.10E-01,8.82E-07,2.14E-06,2.28E+00,9.26E-04,3.34E-02,3.52E-02,3.59E-02,6.10E+00,6.86E-01,8.30E-02,3.96E-02,a
532045,2.04E-01,6.41E-07,1.72E-06,2.56E+00,1.08E-03,3.40E-02,3.62E-02,3.69E-02,6.19E+00,6.90E-01,8.34E-02,3.97E-02,a
532046,1.93E-01,1.04E-06,2.10E-06,2.55E+00,9.86E-04,3.40E-02,3.58E-02,3.65E-02,6.20E+00,6.91E-01,8.35E-02,3.98E-02,a
532047,1.94E-01,4.95E-07,2.29E-06,2.73E+00,1.10E-03,3.31E-02,3.58E-02,3.65E-02,6.18E+00,6.90E-01,8.37E-02,4.01E-02,a
532048,1.96E-01,1.19E-06,2.68E-06,2.33E+00,9.84E-04,3.31E-02,3.57E-02,3.64E-02,6.17E+00,6.91E-01,8.35E-02,3.99E-02,a
532049,2.00E-01,1.85E-06,3.19E-06,2.42E+00,1.16E-03,3.31E-02,3.57E-02,3.62E-02,6.17E+00,6.90E-01,8.34E-02,3.97E-02,a
532050,1.90E-01,1.99E-06,3.48E-06,2.68E+00,8.75E-04,3.31E-02,3.60E-02,3.67E-02,6.19E+00,6.93E-01,8.40E-02,4.02E-02,a
532051,2.02E-01,2.22E-07,1.82E-06,2.82E+00,1.10E-03,3.34E-02,3.52E-02,3.59E-02,6.20E+00,6.91E-01,8.36E-02,3.99E-02,a
532052,1.80E-01,7.41E-07,2.80E-06,2.70E+00,9.77E-04,3.25E-02,3.56E-02,3.65E-02,6.19E+00,6.94E-01,8.40E-02,4.03E-02,a
532053,2.05E-01,1.30E-06,2.30E-06,2.37E+00,1.04E-03,3.31E-02,3.59E-02,3.65E-02,6.24E+00,6.95E-01,8.46E-02,4.06E-02,a
532054,2.03E-01,1.69E-06,2.54E-06,2.48E+00,9.44E-04,3.37E-02,3.59E-02,3.65E-02,6.18E+00,6.95E-01,8.45E-02,4.07E-02,a
532055,1.87E-01,1.44E-06,1.83E-06,2.66E+00,1.28E-03,3.34E-02,3.62E-02,3.68E-02,6.20E+00,6.94E-01,8.35E-02,3.99E-02,a
