***,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,class
1,1.30E-05,5.27E-01,8.30E-05,9.62E-01,2.82E-05,6.12E-05,5.41E-05,1.99E-01,3.91E-01,4.60E-01,6.30E-01,9.57E-01,a
2,1.50E-05,5.30E-01,1.60E-05,9.92E-01,2.61E-05,4.36E-05,1.05E-05,1.99E-01,3.89E-01,4.59E-01,6.35E-01,9.81E-01,a
3,2.00E-06,5.26E-01,1.60E-05,9.79E-01,2.49E-05,4.41E-05,1.00E-05,1.95E-01,3.87E-01,4.52E-01,6.36E-01,9.72E-01,a
4,6.00E-06,5.27E-01,5.00E-05,9.76E-01,2.46E-05,5.11E-05,3.47E-05,2.04E-01,3.93E-01,4.57E-01,6.36E-01,9.74E-01,a
5,2.00E-06,5.30E-01,1.50E-05,9.79E-01,2.62E-05,4.12E-05,8.30E-06,2.10E-01,3.98E-01,4.59E-01,6.32E-01,9.74E-01,a
6,1.50E-05,5.27E-01,1.51E-04,9.54E-01,2.88E-05,8.02E-05,1.05E-04,2.01E-01,3.90E-01,4.55E-01,6.27E-01,9.52E-01,b
7,3.00E-06,5.28E-01,2.60E-05,9.84E-01,2.46E-05,4.73E-05,1.83E-05,1.97E-01,3.88E-01,4.54E-01,6.35E-01,9.78E-01,a
8,1.50E-05,5.24E-01,1.50E-05,1.00E+00,2.46E-05,4.32E-05,8.87E-06,2.01E-01,3.91E-01,4.58E-01,6.33E-01,9.88E-01,a
9,4.00E-06,5.28E-01,1.99E-04,9.88E-01,3.00E-05,9.75E-05,1.51E-04,2.02E-01,3.93E-01,4.55E-01,6.33E-01,9.82E-01,b
10,1.00E-05,5.25E-01,1.90E-05,9.63E-01,2.43E-05,4.46E-05,1.19E-05,1.98E-01,3.90E-01,4.54E-01,6.30E-01,9.55E-01,a
11,4.00E-06,5.27E-01,1.62E-04,9.67E-01,2.79E-05,8.07E-05,1.46E-04,1.95E-01,3.86E-01,4.50E-01,6.33E-01,9.64E-01,b
12,1.60E-05,5.29E-01,1.60E-05,9.59E-01,2.45E-05,4.38E-05,1.02E-05,2.02E-01,3.92E-01,4.58E-01,6.26E-01,9.54E-01,a
13,4.00E-06,5.26E-01,1.40E-05,9.75E-01,2.49E-05,4.16E-05,7.64E-06,1.98E-01,3.89E-01,4.54E-01,6.26E-01,9.72E-01,a
14,1.40E-05,5.25E-01,6.30E-05,9.80E-01,2.62E-05,5.41E-05,3.81E-05,1.99E-01,3.89E-01,4.58E-01,6.28E-01,9.73E-01,a
15,3.00E-06,5.30E-01,1.50E-05,9.93E-01,2.67E-05,4.18E-05,9.19E-06,1.98E-01,3.90E-01,4.54E-01,6.37E-01,9.87E-01,a
16,1.30E-05,5.28E-01,1.50E-05,9.97E-01,2.59E-05,4.16E-05,9.38E-06,2.00E-01,3.89E-01,4.56E-01,6.38E-01,9.92E-01,a
17,7.00E-06,5.27E-01,1.30E-05,1.01E+00,2.47E-05,4.09E-05,6.57E-06,2.02E-01,3.91E-01,4.57E-01,6.35E-01,1.00E+00,a
18,3.00E-06,5.32E-01,7.60E-05,9.70E-01,2.65E-05,6.33E-05,6.20E-05,2.04E-01,3.94E-01,4.58E-01,6.37E-01,9.63E-01,a
19,6.00E-06,5.27E-01,1.50E-05,9.85E-01,2.47E-05,4.19E-05,1.02E-05,1.96E-01,3.88E-01,4.53E-01,6.35E-01,9.80E-01,a
20,7.00E-06,5.38E-01,7.00E-05,1.02E+00,2.53E-05,6.23E-05,5.94E-05,2.07E-01,3.97E-01,4.60E-01,6.45E-01,1.02E+00,a
21,1.50E-05,5.29E-01,1.60E-05,1.02E+00,2.45E-05,4.35E-05,9.56E-06,1.96E-01,3.87E-01,4.56E-01,6.38E-01,1.01E+00,a
22,1.80E-05,5.24E-01,7.40E-05,1.01E+00,2.93E-05,6.14E-05,4.97E-05,1.85E-01,3.78E-01,4.44E-01,6.35E-01,1.01E+00,b
23,0.00E+00,5.25E-01,7.00E-05,9.73E-01,2.57E-05,5.40E-05,5.13E-05,1.97E-01,3.87E-01,4.53E-01,6.25E-01,9.66E-01,b
24,5.00E-06,5.27E-01,2.60E-05,1.01E+00,2.66E-05,4.56E-05,2.01E-05,1.95E-01,3.86E-01,4.51E-01,6.34E-01,1.00E+00,a
25,7.00E-06,5.33E-01,8.60E-05,9.74E-01,2.74E-05,6.32E-05,6.16E-05,2.11E-01,4.01E-01,4.67E-01,6.32E-01,9.67E-01,a
26,1.00E-06,5.28E-01,6.30E-05,9.67E-01,2.53E-05,5.86E-05,4.67E-05,2.09E-01,3.98E-01,4.57E-01,6.32E-01,9.61E-01,a
27,5.00E-06,5.30E-01,2.00E-05,9.81E-01,2.55E-05,4.48E-05,1.27E-05,2.10E-01,3.98E-01,4.58E-01,6.29E-01,9.72E-01,a
28,1.90E-05,5.30E-01,2.30E-05,9.60E-01,2.71E-05,4.38E-05,2.63E-05,2.07E-01,3.96E-01,4.62E-01,6.27E-01,9.54E-01,a
29,3.00E-06,5.28E-01,3.70E-05,1.00E+00,2.68E-05,4.68E-05,2.36E-05,1.98E-01,3.89E-01,4.56E-01,6.36E-01,9.95E-01,a
30,8.00E-06,5.33E-01,3.20E-05,9.83E-01,2.45E-05,4.76E-05,2.21E-05,2.07E-01,3.96E-01,4.61E-01,6.37E-01,9.77E-01,a
31,5.00E-06,5.31E-01,8.40E-05,9.96E-01,2.59E-05,6.19E-05,5.56E-05,2.03E-01,3.93E-01,4.61E-01,6.36E-01,9.90E-01,a
32,1.40E-05,5.26E-01,2.00E-05,9.91E-01,2.64E-05,4.38E-05,1.35E-05,2.04E-01,3.94E-01,4.56E-01,6.35E-01,9.83E-01,a
33,1.00E-06,5.33E-01,2.60E-05,9.68E-01,2.58E-05,4.67E-05,1.43E-05,2.14E-01,4.01E-01,4.63E-01,6.30E-01,9.58E-01,a
34,0.00E+00,5.30E-01,1.18E-04,9.77E-01,3.30E-05,8.11E-05,1.05E-04,2.11E-01,3.99E-01,4.61E-01,6.35E-01,9.73E-01,a
35,1.70E-05,5.28E-01,6.30E-05,9.96E-01,2.69E-05,5.63E-05,3.74E-05,2.04E-01,3.94E-01,4.60E-01,6.38E-01,9.93E-01,a
36,5.00E-06,5.25E-01,1.30E-05,9.89E-01,2.55E-05,4.09E-05,7.12E-06,2.05E-01,3.94E-01,4.60E-01,6.31E-01,9.84E-01,a
37,6.00E-06,5.29E-01,1.50E-05,9.89E-01,2.61E-05,4.21E-05,8.88E-06,2.05E-01,3.96E-01,4.57E-01,6.33E-01,9.75E-01,a
38,1.00E-05,5.30E-01,7.70E-05,9.69E-01,2.66E-05,5.63E-05,4.92E-05,2.12E-01,3.99E-01,4.61E-01,6.33E-01,9.56E-01,a
39,1.80E-05,5.34E-01,1.50E-05,9.92E-01,2.61E-05,4.19E-05,8.94E-06,2.13E-01,4.00E-01,4.63E-01,6.38E-01,9.86E-01,a
40,0.00E+00,5.33E-01,2.32E-04,9.74E-01,2.53E-05,9.65E-05,1.45E-04,2.08E-01,3.98E-01,4.61E-01,6.32E-01,9.64E-01,a
41,9.00E-06,5.34E-01,5.50E-05,9.83E-01,2.66E-05,5.52E-05,3.33E-05,2.05E-01,3.96E-01,4.62E-01,6.39E-01,9.74E-01,a
42,0.00E+00,5.29E-01,2.00E-05,9.91E-01,2.48E-05,4.29E-05,1.33E-05,2.05E-01,3.94E-01,4.60E-01,6.32E-01,9.83E-01,a
43,5.00E-06,5.29E-01,1.60E-05,9.82E-01,2.59E-05,4.33E-05,1.03E-05,2.03E-01,3.93E-01,4.57E-01,6.36E-01,9.77E-01,a
44,4.00E-06,5.27E-01,3.10E-05,9.69E-01,2.74E-05,4.81E-05,2.05E-05,1.99E-01,3.89E-01,4.57E-01,6.35E-01,9.59E-01,a
45,1.00E-05,5.32E-01,1.70E-05,9.61E-01,2.49E-05,4.35E-05,1.05E-05,2.05E-01,3.96E-01,4.60E-01,6.29E-01,9.55E-01,a
